k1_Initial_n,k2_Rule,k3_Friction_State,k4_Temporal_Depth,Resulting_Value,Convergence_Vector,Full_Trajectory
-1,3n+1,Negative_Mirror,5,-2,2.0,-1 -> -2 -> -1 -> -2 -> -1 -> -2
-2,3n+1,Negative_Mirror,5,-1,0.5,-2 -> -1 -> -2 -> -1 -> -2 -> -1
-3,3n+1,Negative_Mirror,5,-2,0.6666666666666666,-3 -> -8 -> -4 -> -2 -> -1 -> -2
-4,3n+1,Negative_Mirror,5,-2,0.5,-4 -> -2 -> -1 -> -2 -> -1 -> -2
-5,3n+1,Negative_Mirror,5,-5,1.0,-5 -> -14 -> -7 -> -20 -> -10 -> -5
-6,3n+1,Negative_Mirror,5,-1,0.16666666666666666,-6 -> -3 -> -8 -> -4 -> -2 -> -1
-7,3n+1,Negative_Mirror,5,-7,1.0,-7 -> -20 -> -10 -> -5 -> -14 -> -7
-8,3n+1,Negative_Mirror,5,-1,0.125,-8 -> -4 -> -2 -> -1 -> -2 -> -1
-9,3n+1,Negative_Mirror,5,-56,6.222222222222222,-9 -> -26 -> -13 -> -38 -> -19 -> -56
-10,3n+1,Negative_Mirror,5,-10,1.0,-10 -> -5 -> -14 -> -7 -> -20 -> -10
-11,3n+1,Negative_Mirror,5,-2,0.18181818181818182,-11 -> -32 -> -16 -> -8 -> -4 -> -2
-12,3n+1,Negative_Mirror,5,-2,0.16666666666666666,-12 -> -6 -> -3 -> -8 -> -4 -> -2
-13,3n+1,Negative_Mirror,5,-14,1.0769230769230769,-13 -> -38 -> -19 -> -56 -> -28 -> -14
-14,3n+1,Negative_Mirror,5,-14,1.0,-14 -> -7 -> -20 -> -10 -> -5 -> -14
-15,3n+1,Negative_Mirror,5,-16,1.0666666666666667,-15 -> -44 -> -22 -> -11 -> -32 -> -16
-16,3n+1,Negative_Mirror,5,-2,0.125,-16 -> -8 -> -4 -> -2 -> -1 -> -2
-17,3n+1,Negative_Mirror,5,-110,6.470588235294118,-17 -> -50 -> -25 -> -74 -> -37 -> -110
-18,3n+1,Negative_Mirror,5,-19,1.0555555555555556,-18 -> -9 -> -26 -> -13 -> -38 -> -19
-19,3n+1,Negative_Mirror,5,-20,1.0526315789473684,-19 -> -56 -> -28 -> -14 -> -7 -> -20
-20,3n+1,Negative_Mirror,5,-20,1.0,-20 -> -10 -> -5 -> -14 -> -7 -> -20
-21,3n+1,Negative_Mirror,5,-23,1.0952380952380953,-21 -> -62 -> -31 -> -92 -> -46 -> -23
-22,3n+1,Negative_Mirror,5,-4,0.18181818181818182,-22 -> -11 -> -32 -> -16 -> -8 -> -4
-23,3n+1,Negative_Mirror,5,-25,1.0869565217391304,-23 -> -68 -> -34 -> -17 -> -50 -> -25
-24,3n+1,Negative_Mirror,5,-4,0.16666666666666666,-24 -> -12 -> -6 -> -3 -> -8 -> -4
-25,3n+1,Negative_Mirror,5,-164,6.56,-25 -> -74 -> -37 -> -110 -> -55 -> -164
-26,3n+1,Negative_Mirror,5,-28,1.0769230769230769,-26 -> -13 -> -38 -> -19 -> -56 -> -28
-27,3n+1,Negative_Mirror,5,-5,0.18518518518518517,-27 -> -80 -> -40 -> -20 -> -10 -> -5
-28,3n+1,Negative_Mirror,5,-5,0.17857142857142858,-28 -> -14 -> -7 -> -20 -> -10 -> -5
-29,3n+1,Negative_Mirror,5,-32,1.103448275862069,-29 -> -86 -> -43 -> -128 -> -64 -> -32
-30,3n+1,Negative_Mirror,5,-32,1.0666666666666667,-30 -> -15 -> -44 -> -22 -> -11 -> -32
