m,c,R_Ratio,Stability,Intensity
500,1,0.05405405405405406,0.25,45.15051499783199
500,2,1.008,0.25,45.15051499783199
500,3,0.05405405405405406,0.25,45.15051499783199
500,4,4.067880794701987,0.25,45.15051499783199
500,5,0.05405405405405406,0.25,45.15051499783199
500,6,1.008,0.25,45.15051499783199
500,7,0.05405405405405406,0.25,45.15051499783199
500,8,1.9716312056737588,0.25,45.15051499783199
500,9,0.05405405405405406,0.25,45.15051499783199
500,10,1.008,0.25,45.15051499783199
500,11,0.05405405405405406,0.25,45.15051499783199
500,12,3.9681742043551087,0.25,45.15051499783199
500,13,0.05405405405405406,0.25,45.15051499783199
500,14,1.008,0.25,45.15051499783199
500,15,0.05405405405405406,0.25,45.15051499783199
501,1,1.9107981220657277,0.25,45.15051499783199
501,2,0.05405405405405406,0.25,45.15051499783199
501,3,1.6926829268292682,0.25,45.15051499783199
501,4,0.05405405405405406,0.25,45.15051499783199
501,5,1.7710843373493976,0.25,45.15051499783199
501,6,0.05405405405405406,0.25,45.15051499783199
501,7,1.9527186761229314,0.25,45.15051499783199
501,8,0.05405405405405406,0.25,45.15051499783199
501,9,1.9099526066350712,0.25,45.15051499783199
501,10,0.05405405405405406,0.25,45.15051499783199
501,11,1.9742388758782201,0.25,45.15051499783199
501,12,0.05405405405405406,0.25,45.15051499783199
501,13,1.7875894988066825,0.25,45.15051499783199
501,14,0.05405405405405406,0.25,45.15051499783199
501,15,1.9289099526066351,0.25,45.15051499783199
502,1,0.05405405405405406,0.25,45.15051499783199
502,2,2.9185336048879837,0.25,45.15051499783199
502,3,0.05405405405405406,0.25,45.15051499783199
502,4,1.008,0.25,45.15051499783199
502,5,0.05405405405405406,0.25,45.15051499783199
502,6,2.775933609958506,0.25,45.15051499783199
502,7,0.05405405405405406,0.25,45.15051499783199
502,8,1.008,0.25,45.15051499783199
502,9,0.05405405405405406,0.25,45.15051499783199
502,10,2.858316221765914,0.25,45.15051499783199
502,11,0.05405405405405406,0.25,45.15051499783199
502,12,1.008,0.25,45.15051499783199
502,13,0.05405405405405406,0.25,45.15051499783199
502,14,2.791322314049587,0.25,45.15051499783199
502,15,0.05405405405405406,0.25,45.15051499783199
503,1,1.90521327014218,0.25,45.15051499783199
503,2,0.05405405405405406,0.25,45.15051499783199
503,3,2.2244897959183674,0.25,45.15051499783199
503,4,0.05405405405405406,0.25,45.15051499783199
503,5,1.9836065573770492,0.25,45.15051499783199
503,6,0.05405405405405406,0.25,45.15051499783199
503,7,1.9976525821596245,0.25,45.15051499783199
503,8,0.05405405405405406,0.25,45.15051499783199
503,9,2.1141552511415527,0.25,45.15051499783199
503,10,0.05405405405405406,0.25,45.15051499783199
503,11,2.1175115207373274,0.25,45.15051499783199
503,12,0.05405405405405406,0.25,45.15051499783199
503,13,1.9002375296912113,0.25,45.15051499783199
503,14,0.05405405405405406,0.25,45.15051499783199
503,15,2.108045977011494,0.25,45.15051499783199
504,1,0.05405405405405406,0.25,45.15051499783199
504,2,1.008,0.25,45.15051499783199
504,3,0.05405405405405406,0.25,45.15051499783199
504,4,1.9716312056737588,0.25,45.15051499783199
504,5,0.05405405405405406,0.25,45.15051499783199
504,6,1.008,0.25,45.15051499783199
504,7,0.05405405405405406,0.25,45.15051499783199
504,8,4.9694019471488176,0.25,44.42605591999354
504,9,0.05405405405405406,0.25,45.15051499783199
504,10,1.008,0.25,45.15051499783199
504,11,0.05405405405405406,0.25,45.15051499783199
504,12,1.9716312056737588,0.25,45.15051499783199
504,13,0.05405405405405406,0.25,45.15051499783199
504,14,1.008,0.25,45.15051499783199
504,15,0.05405405405405406,0.25,45.15051499783199
505,1,1.861244019138756,0.25,45.15051499783199
505,2,0.05405405405405406,0.25,45.15051499783199
505,3,1.8428571428571427,0.25,45.15051499783199
505,4,0.05405405405405406,0.25,45.15051499783199
505,5,1.962085308056872,0.25,45.15051499783199
505,6,0.05405405405405406,0.25,45.15051499783199
505,7,2.119815668202765,0.25,45.15051499783199
505,8,0.05405405405405406,0.25,45.15051499783199
505,9,1.9787234042553192,0.25,45.15051499783199
505,10,0.05405405405405406,0.25,45.15051499783199
505,11,1.9646226415094339,0.25,45.15051499783199
505,12,0.05405405405405406,0.25,45.15051499783199
505,13,1.9601873536299765,0.25,45.15051499783199
505,14,0.05405405405405406,0.25,45.15051499783199
505,15,1.9646226415094339,0.25,45.15051499783199
506,1,0.05405405405405406,0.25,45.15051499783199
506,2,2.9139344262295084,0.25,45.15051499783199
506,3,0.05405405405405406,0.25,45.15051499783199
506,4,1.008,0.25,45.15051499783199
506,5,0.05405405405405406,0.25,45.15051499783199
506,6,2.9634146341463414,0.25,45.15051499783199
506,7,0.05405405405405406,0.25,45.15051499783199
506,8,1.008,0.25,45.15051499783199
506,9,0.05405405405405406,0.25,45.15051499783199
506,10,3.0656063618290257,0.25,45.15051499783199
506,11,0.05405405405405406,0.25,45.15051499783199
506,12,1.008,0.25,45.15051499783199
506,13,0.05405405405405406,0.25,45.15051499783199
506,14,2.7594142259414225,0.25,45.15051499783199
506,15,0.05405405405405406,0.25,45.15051499783199
507,1,1.9929906542056075,0.25,45.15051499783199
507,2,0.05405405405405406,0.25,45.15051499783199
507,3,2.0256410256410255,0.25,45.15051499783199
507,4,0.05405405405405406,0.25,45.15051499783199
507,5,1.950354609929078,0.25,45.15051499783199
