m,c,r_ratio,stability,intensity
1,1,2.6666666666666665,1.0,0.45666024574070985
1,2,0.01,0.6,1.1737664909682068
1,3,3.5,0.8,0.5168662448735061
1,4,0.01,0.6,1.2930325347569127
1,5,3.5,0.8,0.5612359947967774
1,6,0.01,0.6,1.3630852633021306
1,7,2.25,0.6,0.6122904958174387
1,8,0.01,0.6,1.412868532248535
1,9,3.3333333333333335,0.8,0.6372782431390986
1,10,0.01,0.6,1.4515170935017427
1,11,3.0,1.0,0.68164799306237
1,12,0.01,0.6,1.4831125839912045
1,13,3.2,1.0,0.6974842422718949
1,14,0.01,0.6,1.5098362719699903
1,15,3.0,0.6,0.7168662448735061
1,16,0.01,0.6,1.5329917677011389
1,17,2.375,0.6,0.7594812099352763
1,18,0.01,0.6,1.5534206604266516
1,19,2.1333333333333333,1.0,0.8031389977053036
1,20,0.01,0.6,1.5716979591059368
1,21,2.4,0.6,0.7770722440063025
1,22,0.01,0.6,1.5882340049010033
1,23,2.2,0.8,0.8205690328490837
1,24,0.01,0.6,1.603331903633992
1,25,3.5,0.8,0.8020599913279625
1,26,0.01,0.6,1.6172219152973022
1,27,3.5,0.8,0.8178962405374873
1,28,0.01,0.6,1.6300830754262623
1,29,2.5,1.0,0.8312855984636099
1,30,0.01,0.6,1.6420573458539915
1,31,3.25,0.6,0.8372782431390988
1,32,0.01,0.6,1.653259193127094
1,33,2.3,0.6,0.8858858528763575
1,34,0.01,0.6,1.6637822603494208
1,35,2.25,0.6,0.8675317782052285
1,36,0.01,0.6,1.6737041305640936
1,37,1.9259259259259258,1.0,0.9235509959708962
1,38,0.01,0.6,1.6830898014662565
1,39,2.6666666666666665,0.8,0.9133204914814199
1,40,0.01,0.6,1.6919942684173486
1,41,2.5,0.8,0.9180167106513245
1,42,0.01,0.6,1.7004644770053319
1,43,2.2142857142857144,0.6,0.9418539921951661
1,44,0.01,0.6,1.7085408212431
1,45,3.25,0.6,0.8974842422718948
1,46,0.01,0.6,1.7162583086589798
